# Constructed from biom file
#OTU ID	A8812_JewBury1-51926-SortMeRNA-Naive	A8824_JewBury2-71125-SortMeRNA-Naive	A12014_EuroHG1-100k-SortMeRNA-Naive	A12017_EuroHG2-93208-SortMeRNA-Naive	A12826_LBK1-100k-SortMeRNA-Naive	A12829_LBK2-100k-SortMeRNA-Naive	A12873_Chimp-100k-SortMeRNA-Naive	A13204_AfrPP2-100k-SortMeRNA-Naive	A13208_AfrSF2-100k-SortMeRNA-Naive	A13209_AfrSF3-100k-SortMeRNA-Naive	A13210-AfrSF4-100k-SortMeRNA-Naive	A13213_AfrPP1-100k-SortMeRNA-Naive	A13232_IndRev1-100k-SortMeRNA-Naive	A13234_IndRev2-100k-SortMeRNA-Naive	A13344_ET11_EBC-100k-SortMeRNA-Naive	AFR8_EBC-9076-SortMeRNA-Naive	8812Jewbury	8824Jewbury	12014Meso	12017Meso	12826LBK	12829LBK	12873Chimp	13204Sf	13208Sf	13209Sf	13210Sf	13213Sf	IndustrialRevolution1-1.	IndustrialRevolution2	IndustrialRevolution3
"Nitrospira"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	63.0	67.0	0.0	2367.0	3888.0	556.0	1.0	0.0	182.0	0.0	0.0	0.0	28.0	12.0	19.0
"Brevundimonas"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	6.0	899.0	0.0	0.0	0.0	0.0	1.0
"Devosia"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	16.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0
"Hyphomicrobium"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	19.0	7.0	40.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.0
"Pedomicrobium"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	18.0	538.0	0.0	881.0	301.0	2.0	0.0	1.0	0.0	1.0	0.0	197.0	158.0	90.0
"Rhodoplanes"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	9.0	0.0	2.0	15.0	40.0	0.0	0.0	0.0	0.0	0.0	0.0	16.0	36.0	22.0
"Methylobacterium"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	166.0	44.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Mesorhizobium"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	164.0	6.0	0.0	0.0	80.0	0.0	0.0	0.0	2.0	1.0	0.0
"Rhodovibrio"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	51.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Paracoccus"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	99.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Inquilinus"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0
